Mes|comentario
202006|hola
202006|queremos señal de internet estable
202006|domingo no trabajan me dijeron
202006|alexis romero ya bajó el a20 y el y9 prime
202006|hola buenos días te hemos enviado un inbox
202006|erick lucero
202006|moy ojo ahorita reviso ahí
202006|ba estar abierto hoy
202006|ahora
202006|que precio tiene el a11
202006|fattima garcia inbox
202006|por la emergencia le an subido ala tarjete d 3 50 verdad
202006|listo ya les escribi
202006|me urge comprarlo ya
202006|desde ayer al medio día estoy sin señal solo dice sin servicio en mi celular
202006|van a cobrar multa si no se paga la factura hoy
202006|uleros tan cara que dan la instalación
202006|hay que ser más conscientes esta gente no ha parado de trabajar no sean inhumanos
202006|kattia martínez buenos días mi nombre es eliza y soy gestor de agencia claro con gusto puedo darle seguimiento a su caso me podría enviar la información de su servicio via inbox
202006|eliza alvarenga buenos días ya me reestablecieron el servicio de cable e internet muchas gracias
202006|donde yo vivo no hay lineas de wifi yo queria poner pero no pudimos q sad
202006|hola nos podrías ampliar los detalles de la zona donde presentas el inconveniente quedamos atentos vía inbox saludos
202006|quieren la direcccion verda
202006|quedamos al pendiente de tus datos por medio de inbox saludos
202006|ya les envie imbox pero no rresponden v
202006|un gusto saludarte hemos verificado que ya se lleva el seguimiento de tu caso vía inbox
202006|ooh ok gracias espero q nos puedan ayudar
202006|c los agradeceriamos mucho
202006|hola buenas noches las disculpas por los inconvenientes le estamos dando seguimiento a tu caso por inbox quedamos a la espera de tus mensajes saludos
202006|néstor nestor reyes
202006|ahí si va
202006|necesito informacion de un traslado
202006|eliza alvarenga gracias
202006|hola por inbox te estamos brindando asistencia saludos
202006|hola envíanos un inbox junto con los datos de tu servicio para verificar y solventar lo que nos comentas estaremos a la espera saludos
202006|dios los bendiga compañeros
202006|hola envíanos un inbox junto con los datos de tu servicio para verificar y solventar lo que nos comentas estaremos a la espera saludos
202006|en reparto sta cecilia soyapango por favor
202006|hola buenos días ali cabrera te invitamos a escribirnos un inbox para brindarle seguimiento a tu caso quedamos a la espera saludos
202006|gracias por el esfuerzo hecho se valora mucho que salgan a las calles y se expongan de esa manera en su trabajo ignorar lo malo en estos momentos y tomar lo bueno
202006|grasias señores de claro ustedes si an respetado lo dicho por el presidente
202006|disculpen quiero consultarles a mí se me vence el pago de factura hoy pero no me toca salir hasta mañana no puedo hacerlo hoy si lo pago mañana me cobrarían mora
202006|queremos ayudarte escríbenos en privado para revisar tu servicio quedamos atentos saludos
202006|queremos ayudarte escríbenos en privado para revisar tu servicio quedamos atentos saludos
202006|aquí en san marcos me cortaron la señal pésimo servicio y no voy mal con los pagos
202006|buenos días karlita estamos interesados en ayudarte por favor envíanos tus datos por medio de inbox estaremos atentos a tus comentarios saludos
202006|estoy sin línea fija y sin internet aún no me solucionan nada me urge
202006|buenos días iveth estamos interesados en ayudarte por favor envíanos tus datos por medio de inbox estaremos atentos a tus comentarios saludos
202006|iveth fuentes buenos días mi nombre es eliza y soy gestor de agencia claro con gusto puedo darle seguimiento a su caso me podría enviar la información de su servicio via inbox
202006|dicen q son héroes los empleados pero para la empresa no lo son las medidas de austeridad que tienen son inminentes que bueno fuera q a los empleados les dieran un incentivo económico pero en lo absoluto lo reciben y da tristeza que la empresa se llene la boca q ayuda al pueblo salvadoreño cuando los que se esfuerza son los empleados asalariados bien se nota el marketing social que están implementando son candil en la calle y oscuridad en casa
202006|seria bueno q arreglarán en municipo de santiago texacuangos dp san salvador ah caido toda la señal 3 dias ya ayuda
202006|buenos días fernando estamos interesados en ayudarte por favor envíanos tus datos por medio de inbox estaremos atentos a tus comentarios saludos
202006|hola por inbox te estamos brindando asistencia saludos
202006|esa es su obligacion simplemente con un dia que uno se pase le cobran mora y dicen que es politica de claro
202006|todavía en soyapango no tenemos servicio de internet residencial podrían ayudarnos gracias
202006|buenos días compártenos los datos de tu servicio por inbox para poder verificar saludos
202006|dios bendiga y cuide a nuestros compañeros técnicos tambien
202006|es parte de su trabajo les corresponde hacerlo en ningún momento andan asiendo favores con los usuarios porque la factura se paga tal como llega no veo porque publicar esa foto
202006|al igual aqui en usulutan puerto el triunfo tambien tenemos problemas con el internet
202006|buenas tardes alex con mucho gusto brindaremos atención a tu caso mediante inbox nos mantenemos a la espera de tus comentarios saludos
202006|buenos días compártenos los datos de tu servicio por inbox para poder verificar saludos
202006|que no cobren el servicio sino lo estan dando pues esta maldita empresa si uno se atrasa un dia en pagar cobra una multa casi de 4 dolares
202006|buenos días estamos en la disposición de ayudarte con lo que nos reportas envíanos por favor un inbox con tus datos para verificar quedamos a la espera de la información saludos
202006|buenos días estamos en la disposición de ayudarte con lo que nos reportas envíanos por favor un inbox con tus datos para verificar quedamos a la espera de la información saludos
202006|gracias por quere que el pueblo salvadoreño tenga servicio pero igual no deberían de cobrar mora a uno porque con un día que uno se pasa le cobran y no tendría que ser así si en verdad nos quieren ayudar es de esa forma que ustedes nos puedan ayudar no cobrar mora
202006|hola a través de este medio podemos ayudarte envíanos un inbox por favor saludos
202006|hola buenos días iliana un gusto saludarte permítenos verificar tu caso escríbenos de favor a través de inbox y con gusto daremos seguimiento y te ayudaremos con lo que nos comentas quedamos al pendiente de tu mensaje saludos
202006|ayudar igualmente en la facilidad de pago de facturas pues la mayoria no estamos trabajando
202006|hola buenos días carlos en caso de presentar inconvenientes para realizar tus pagos puedes enviarnos el número del servicio vía inbox y con gusto brindamos asistencia saludos
202006|hola buenos días carlos en caso de presentar inconvenientes para realizar tus pagos puedes enviarnos el número del servicio vía inbox y con gusto brindamos asistencia saludos
202006|colonia el milagro primera calle oriente arriba de los jusgados de san marcos san marcos san salvador
202006|compártenos los datos de tu servicio por inbox para poder ayudarte por favor quedamos a la espera
202006|los felicito señores de claro muy bueno de su parte
202006|la verdad desde enero no tengo buena señal la verdad no me llega pero ni al 0 9 y esto que es de 6 megas
202006|queremos ayudarte escríbenos en privado para revisar tu servicio quedamos atentos saludos
202006|queremos ayudarte escríbenos en privado para revisar tu servicio quedamos atentos saludos
202006|señores de claro aquí en colonia las palmeras no hay internet
202006|con gusto verificamos tu caso sin embargo es necesario nos escribas vía inbox estaremos al pendiente saludos
