"word","freq"
"inbox",2832
"saludos",2641
"hola",2044
"quedamos",1833
"buenas",1794
"gusto",1531
"vía",1197
"claro",1170
"datos",1061
"días",964
"servicio",931
"ayudarte",865
"buenos",827
"medio",810
"noches",806
"comentarios",692
"atentos",681
"envíanos",639
"información",583
"saludarte",580
"invitamos",558
"internet",554
"consulta",545
"escríbenos",491
"interesados",386
"verificar",381
"órdenes",375
"comentarte",365
"día",336
"puedes",333
"puedas",329
"señal",310
"escribirnos",303
"brindarte",297
"escribas",289
"cable",281
"precio",277
"línea",277
"agencia",274
"respuesta",264
"objetivo",257
"personalizado",241
"com",230
"tienda",224
"asistencia",223
"casa",220
"brindaremos",217
"deseas",213
"pagar",205
"atención",202
"mensaje",195
"servicios",191
"puedo",189
"brindando",187
"necesito",186
"mensajes",184
"feliz",184
"tiendaenlinea",184
"claroelsalvador",179
"solicitamos",174
"factura",165
"saber",165
"número",161
"mora",159
"cualquier",159
"aquí",154
"dando",153
"pago",152
"contrato",148
"mal",143
"meses",143
"pueden",142
"disposición",140
"personalizada",140
"mes",137
"ordenes",135
"puede",131
"cliente",129
"buen",128
"queremos",126
"agencias",126
"detalles",125
"teléfono",125
"problema",122
"señores",121
"así",120
"nunca",120
"ingresar",120
"quedateencasa",120
"compra",119
"sirve",118
"comentas",117
"dan",115
"personales",115
"mejor",114
"dicen",113
"linea",113
"puerta",113
"enviar",109
"mayor",109
"facturas",105
"esperando",105
"siempre",104
"mismo",104
"detalle",104
"whatsapp",103
"momento",100
"hoy",99
"clientes",97
"tiempo",95
"conocer",93
"huawei",93
"imbox",92
"plan",92
"nombre",91
"celular",90
"través",90
"disponibles",90
"residencial",89
"cobrando",89
"ayudamos",88
"tarjeta",88
"cobrar",87
"realizar",87
"darle",86
"tigo",85
"comprar",82
"pésimo",78
"siguiente",78
"alguna",78
"adquirir",78
"técnico",78
"canales",77
"cuanto",77
"brindar",77
"abierta",77
"llevo",77
"samsung",77
"paquetes",76
"promociones",76
"ayudar",73
"debido",73
"orden",73
"reporte",72
"superpack",72
"incluye",72
"inconvenientes",71
"envíes",71
"prepago",71
"deseo",71
"hacen",71
"horarios",71
"igual",69
"duda",69
"privado",68
"trabajando",67
"noche",67
"precios",67
"abiertas",65
"equipo",65
"recibo",64
"enlace",64
"podría",63
"empresa",63
"podemos",63
