"Mes","comentario","text_tokens"
202006,"hola","hola"
202006,"queremos señal de internet estable","querer señal de internet estable"
202006,"domingo no trabajan me dijeron","domingo no trabajar me decir"
202006,"alexis romero ya bajó el a20 y el y9 prime","alexis romero ya bajar el a20 y el y9 primar"
202006,"hola buenos días te hemos enviado un inbox","hola bueno día te haber enviar uno inbox"
202006,"erick lucero","erick lucero"
202006,"moy ojo ahorita reviso ahí","moy ojo ahorita revisar ahí"
202006,"ba estar abierto hoy","ba estar abrir hoy"
202006,"ahora","ahora"
202006,"que precio tiene el a11","que preciar tener el a11"
202006,"fattima garcia inbox","fattima garcia inbox"
202006,"por la emergencia le an subido ala tarjete d 3 50 verdad","por el emergencia le an subir ala tarjete d 3 50 verdad"
202006,"listo ya les escribi","listar ya les escribi"
202006,"me urge comprarlo ya","me urgir comprarlo ya"
202006,"desde ayer al medio día estoy sin señal solo dice sin servicio en mi celular","desde ayer al mediar día estar sin señal solo decir sin servicio en mi celular"
202006,"van a cobrar multa si no se paga la factura hoy","ir a cobrar multar si no se pagar el facturar hoy"
202006,"uleros tan cara que dan la instalación","uleros tan caro que dar el instalación"
202006,"hay que ser más conscientes esta gente no ha parado de trabajar no sean inhumanos","haber que ser más consciente este gente no haber parar de trabajar no ser inhumano"
202006,"kattia martínez buenos días mi nombre es eliza y soy gestor de agencia claro con gusto puedo darle seguimiento a su caso me podría enviar la información de su servicio via inbox","kattia martínez bueno día mi nombrar ser eliza y ser gestor de agenciar claro con gustar poder darle seguimiento a su casar me poder enviar el información de su servicio via inbox"
202006,"eliza alvarenga buenos días ya me reestablecieron el servicio de cable e internet muchas gracias","eliza alvarenga bueno día ya me reestablecer el servicio de cable e internet mucho gracia"
202006,"donde yo vivo no hay lineas de wifi yo queria poner pero no pudimos q sad","donde yo vivir no haber linear de wifi yo queria poner pero no poder q sad"
202006,"hola nos podrías ampliar los detalles de la zona donde presentas el inconveniente quedamos atentos vía inbox saludos","hola no poder ampliar el detallar de el zona donde presentar el inconveniente quedar atento vía inbox saludo"
202006,"quieren la direcccion verda","querer el direcccion verda"
202006,"quedamos al pendiente de tus datos por medio de inbox saludos","quedar al pendiente de tu dato por mediar de inbox saludo"
202006,"ya les envie imbox pero no rresponden v","ya les envie imbox pero no rresponden v"
202006,"un gusto saludarte hemos verificado que ya se lleva el seguimiento de tu caso vía inbox","uno gustar saludarte haber verificar que ya se llevar el seguimiento de tu casar vía inbox"
202006,"ooh ok gracias espero q nos puedan ayudar","ooh ok gracia esperar q no poder ayudar"
202006,"c los agradeceriamos mucho","c el agradeceriamos mucho"
202006,"hola buenas noches las disculpas por los inconvenientes le estamos dando seguimiento a tu caso por inbox quedamos a la espera de tus mensajes saludos","hola bueno noche el disculpa por el inconveniente le estar dar seguimiento a tu casar por inbox quedar a el esperar de tu mensaje saludo"
202006,"néstor nestor reyes","néstor nestor rey"
202006,"ahí si va","ahí si ir"
202006,"necesito informacion de un traslado","necesitar informacion de uno trasladar"
202006,"eliza alvarenga gracias","eliza alvarenga gracia"
202006,"hola por inbox te estamos brindando asistencia saludos","hola por inbox te estar brindar asistencia saludo"
202006,"hola envíanos un inbox junto con los datos de tu servicio para verificar y solventar lo que nos comentas estaremos a la espera saludos","hola envíanos uno inbox juntar con el dato de tu servicio parar verificar y solventar el que no comentar estar a el esperar saludo"
202006,"dios los bendiga compañeros","dios el bendecir compañero"
202006,"hola envíanos un inbox junto con los datos de tu servicio para verificar y solventar lo que nos comentas estaremos a la espera saludos","hola envíanos uno inbox juntar con el dato de tu servicio parar verificar y solventar el que no comentar estar a el esperar saludo"
202006,"en reparto sta cecilia soyapango por favor","en repartir sta cecilia soyapango por favor"
202006,"hola buenos días ali cabrera te invitamos a escribirnos un inbox para brindarle seguimiento a tu caso quedamos a la espera saludos","hola bueno día ali cabrero te invitar a escribirnos uno inbox parar brindarle seguimiento a tu casar quedar a el esperar saludo"
202006,"gracias por el esfuerzo hecho se valora mucho que salgan a las calles y se expongan de esa manera en su trabajo ignorar lo malo en estos momentos y tomar lo bueno","gracia por el esforzar hacer se valorar mucho que salgar a el callar y se exponer de ese manera en su trabajar ignorar el malo en este momento y tomar el bueno"
202006,"grasias señores de claro ustedes si an respetado lo dicho por el presidente","grasias señor de claro vosotros si an respetar el decir por el presidente"
202006,"disculpen quiero consultarles a mí se me vence el pago de factura hoy pero no me toca salir hasta mañana no puedo hacerlo hoy si lo pago mañana me cobrarían mora","disculpar querer consultarles a mí se me vencer el pagar de facturar hoy pero no me tocar salir hasta mañana no poder hacerlo hoy si el pagar mañana me cobrar morar"
202006,"queremos ayudarte escríbenos en privado para revisar tu servicio quedamos atentos saludos","querer ayudarte escríbenos en privar parar revisar tu servicio quedar atento saludo"
202006,"queremos ayudarte escríbenos en privado para revisar tu servicio quedamos atentos saludos","querer ayudarte escríbenos en privar parar revisar tu servicio quedar atento saludo"
202006,"aquí en san marcos me cortaron la señal pésimo servicio y no voy mal con los pagos","aquí en santo marco me cortar el señal malo servicio y no ir mal con el pago"
202006,"buenos días karlita estamos interesados en ayudarte por favor envíanos tus datos por medio de inbox estaremos atentos a tus comentarios saludos","bueno día karlita estar interesado en ayudarte por favor envíanos tu dato por mediar de inbox estar atento a tu comentario saludo"
202006,"estoy sin línea fija y sin internet aún no me solucionan nada me urge","estar sin líneo fijar y sin internet aun no me solucionar nadar me urgir"
202006,"buenos días iveth estamos interesados en ayudarte por favor envíanos tus datos por medio de inbox estaremos atentos a tus comentarios saludos","bueno día iveth estar interesado en ayudarte por favor envíanos tu dato por mediar de inbox estar atento a tu comentario saludo"
202006,"iveth fuentes buenos días mi nombre es eliza y soy gestor de agencia claro con gusto puedo darle seguimiento a su caso me podría enviar la información de su servicio via inbox","iveth fuente bueno día mi nombrar ser eliza y ser gestor de agenciar claro con gustar poder darle seguimiento a su casar me poder enviar el información de su servicio via inbox"
202006,"dicen q son héroes los empleados pero para la empresa no lo son las medidas de austeridad que tienen son inminentes que bueno fuera q a los empleados les dieran un incentivo económico pero en lo absoluto lo reciben y da tristeza que la empresa se llene la boca q ayuda al pueblo salvadoreño cuando los que se esfuerza son los empleados asalariados bien se nota el marketing social que están implementando son candil en la calle y oscuridad en casa","decir q ser héroe el empleado pero parar el empresa no el ser el medida de austeridad que tener ser inminente que bueno ir q a el empleado les dar uno incentivar económico pero en el absoluto el recibir y dar tristeza que el empresa se llenar el boca q ayudar al poblar salvadoreño cuando el que se esforzar ser el empleado asalariado bien se notar el marketing social que estar implementar ser candil en el callar y oscuridad en casar"
202006,"seria bueno q arreglarán en municipo de santiago texacuangos dp san salvador ah caido toda la señal 3 dias ya ayuda","seriar bueno q arreglar en municipo de santiago texacuangos dp santo salvador ah caido todo el señal 3 dias ya ayudar"
202006,"buenos días fernando estamos interesados en ayudarte por favor envíanos tus datos por medio de inbox estaremos atentos a tus comentarios saludos","bueno día fernando estar interesado en ayudarte por favor envíanos tu dato por mediar de inbox estar atento a tu comentario saludo"
202006,"hola por inbox te estamos brindando asistencia saludos","hola por inbox te estar brindar asistencia saludo"
202006,"esa es su obligacion simplemente con un dia que uno se pase le cobran mora y dicen que es politica de claro","ese ser su obligacion simplemente con uno dia que unir se pasar le cobrar morar y decir que ser politica de claro"
202006,"todavía en soyapango no tenemos servicio de internet residencial podrían ayudarnos gracias","todavía en soyapango no tener servicio de internet residencial poder ayudarnos gracia"
202006,"buenos días compártenos los datos de tu servicio por inbox para poder verificar saludos","bueno día compártenos el dato de tu servicio por inbox parar poder verificar saludo"
202006,"dios bendiga y cuide a nuestros compañeros técnicos tambien","dios bendecir y cuidar a nuestro compañero técnico tambien"
202006,"es parte de su trabajo les corresponde hacerlo en ningún momento andan asiendo favores con los usuarios porque la factura se paga tal como llega no veo porque publicar esa foto","ser partir de su trabajar les corresponder hacerlo en ninguno momento andar asir favor con el usuario porque el facturar se pagar tal comer llegar no ver porque publicar ese foto"
202006,"al igual aqui en usulutan puerto el triunfo tambien tenemos problemas con el internet","al igual aqui en usulutan puerto el triunfar tambien tener problema con el internet"
